#HIE134-0  Hist_01392
     -180 0.000664000
     -174 0.006606000
     -168 0.035104000
     -162 0.109922000
     -156 0.205178000
     -150 0.238594000
     -144 0.191084000
     -138 0.113888000
     -132 0.054760000
     -126 0.024416000
     -120 0.010616000
     -114 0.004716000
     -108 0.002172000
     -102 0.001082000
      -96 0.000576000
      -90 0.000310000
      -84 0.000136000
      -78 0.000092000
      -72 0.000028000
      -66 0.000004000
      -60 0.000008000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000006000
      174 0.000038000
