#LYS200-3  Hist_02126
     -180 0.011108000
     -174 0.013090000
     -168 0.010054000
     -162 0.005312000
     -156 0.002082000
     -150 0.000980000
     -144 0.000398000
     -138 0.000246000
     -132 0.000234000
     -126 0.000294000
     -120 0.000406000
     -114 0.000736000
     -108 0.001794000
     -102 0.004314000
      -96 0.010850000
      -90 0.024840000
      -84 0.053418000
      -78 0.100648000
      -72 0.145044000
      -66 0.153288000
      -60 0.115368000
      -54 0.066606000
      -48 0.030064000
      -42 0.011524000
      -36 0.004250000
      -30 0.001544000
      -24 0.000502000
      -18 0.000226000
      -12 0.000086000
       -6 0.000048000
        0 0.000030000
        6 0.000018000
       12 0.000036000
       18 0.000060000
       24 0.000120000
       30 0.000356000
       36 0.001206000
       42 0.003856000
       48 0.011272000
       54 0.027180000
       60 0.047194000
       66 0.053730000
       72 0.040432000
       78 0.021668000
       84 0.009266000
       90 0.003214000
       96 0.001014000
      102 0.000194000
      108 0.000052000
      114 0.000008000
      120 0.000002000
      126 0.000002000
      132 0.000004000
      138 0.000002000
      144 0.000014000
      150 0.000046000
      156 0.000152000
      162 0.000618000
      168 0.002566000
      174 0.006334000
