#PRO201-4  Hist_02144
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000010000
      -54 0.000662000
      -48 0.010414000
      -42 0.038796000
      -36 0.051464000
      -30 0.036312000
      -24 0.018288000
      -18 0.008476000
      -12 0.005212000
       -6 0.004366000
        0 0.005602000
        6 0.011446000
       12 0.029800000
       18 0.078428000
       24 0.176208000
       30 0.262116000
       36 0.199036000
       42 0.058688000
       48 0.004598000
       54 0.000078000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
