#ASN98-1  Hist_01018
    -180 0.000322000
    -174 0.000066000
    -168 0.000012000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000002000
     -30 0.000008000
     -24 0.000018000
     -18 0.000026000
     -12 0.000050000
      -6 0.000050000
       0 0.000054000
       6 0.000066000
      12 0.000060000
      18 0.000042000
      24 0.000022000
      30 0.000020000
      36 0.000028000
      42 0.000040000
      48 0.000066000
      54 0.000150000
      60 0.000390000
      66 0.000764000
      72 0.001480000
      78 0.002370000
      84 0.003700000
      90 0.005440000
      96 0.008220000
     102 0.013232000
     108 0.022182000
     114 0.037506000
     120 0.062028000
     126 0.097224000
     132 0.137278000
     138 0.168802000
     144 0.174530000
     150 0.140518000
     156 0.080366000
     162 0.032170000
     168 0.008896000
     174 0.001802000
