#TYR59-0  Hist_00622
    -180 0.000000000
    -174 0.000000000
    -168 0.000006000
    -162 0.000166000
    -156 0.000972000
    -150 0.004946000
    -144 0.016156000
    -138 0.037152000
    -132 0.066216000
    -126 0.094482000
    -120 0.118928000
    -114 0.132328000
    -108 0.133822000
    -102 0.122754000
     -96 0.102836000
     -90 0.075978000
     -84 0.049266000
     -78 0.026952000
     -72 0.012062000
     -66 0.003844000
     -60 0.000986000
     -54 0.000136000
     -48 0.000012000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
