#MET36-1  Hist_00372
    -180 0.004920000
    -174 0.001636000
    -168 0.000518000
    -162 0.000150000
    -156 0.000032000
    -150 0.000002000
    -144 0.000000000
    -138 0.000002000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000002000
     -42 0.000004000
     -36 0.000014000
     -30 0.000012000
     -24 0.000008000
     -18 0.000010000
     -12 0.000004000
      -6 0.000006000
       0 0.000000000
       6 0.000000000
      12 0.000002000
      18 0.000014000
      24 0.000020000
      30 0.000086000
      36 0.000194000
      42 0.000334000
      48 0.000512000
      54 0.000976000
      60 0.001532000
      66 0.002164000
      72 0.002944000
      78 0.003684000
      84 0.004842000
      90 0.006774000
      96 0.008920000
     102 0.012124000
     108 0.018128000
     114 0.030072000
     120 0.051136000
     126 0.080006000
     132 0.106462000
     138 0.124498000
     144 0.137196000
     150 0.141620000
     156 0.123892000
     162 0.080632000
     168 0.039262000
     174 0.014654000
