#GLN160-3  Hist_01688
     -180 0.002250000
     -174 0.006508000
     -168 0.014258000
     -162 0.020192000
     -156 0.018026000
     -150 0.011260000
     -144 0.004800000
     -138 0.001672000
     -132 0.000550000
     -126 0.000236000
     -120 0.000094000
     -114 0.000120000
     -108 0.000128000
     -102 0.000240000
      -96 0.000648000
      -90 0.002208000
      -84 0.007808000
      -78 0.026398000
      -72 0.074252000
      -66 0.147214000
      -60 0.208228000
      -54 0.196292000
      -48 0.125478000
      -42 0.054812000
      -36 0.018174000
      -30 0.004736000
      -24 0.001182000
      -18 0.000278000
      -12 0.000052000
       -6 0.000012000
        0 0.000014000
        6 0.000000000
       12 0.000008000
       18 0.000008000
       24 0.000014000
       30 0.000040000
       36 0.000190000
       42 0.000736000
       48 0.002566000
       54 0.006724000
       60 0.011982000
       66 0.013302000
       72 0.009354000
       78 0.004338000
       84 0.001376000
       90 0.000372000
       96 0.000100000
      102 0.000016000
      108 0.000008000
      114 0.000002000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000002000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000026000
      168 0.000144000
      174 0.000572000
