#THR96-1  Hist_00998
    -180 0.009516000
    -174 0.002788000
    -168 0.000554000
    -162 0.000088000
    -156 0.000004000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000010000
      96 0.000058000
     102 0.000198000
     108 0.000850000
     114 0.002704000
     120 0.007472000
     126 0.019576000
     132 0.048436000
     138 0.103162000
     144 0.174432000
     150 0.216142000
     156 0.192658000
     162 0.127782000
     168 0.065706000
     174 0.027864000
