#TRP141-1  Hist_01478
     -180 0.015026000
     -174 0.002952000
     -168 0.000418000
     -162 0.000036000
     -156 0.000002000
     -150 0.000002000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000002000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000006000
      102 0.000032000
      108 0.000066000
      114 0.000360000
      120 0.001582000
      126 0.006192000
      132 0.019906000
      138 0.052068000
      144 0.108692000
      150 0.181628000
      156 0.227386000
      162 0.204812000
      168 0.126704000
      174 0.052128000
