#HID168-4  Hist_01772
     -180 0.000074000
     -174 0.000050000
     -168 0.000090000
     -162 0.000166000
     -156 0.000242000
     -150 0.000576000
     -144 0.001222000
     -138 0.002978000
     -132 0.006402000
     -126 0.012116000
     -120 0.018824000
     -114 0.025998000
     -108 0.030746000
     -102 0.030788000
      -96 0.028368000
      -90 0.021922000
      -84 0.014902000
      -78 0.008830000
      -72 0.004888000
      -66 0.002738000
      -60 0.001742000
      -54 0.001442000
      -48 0.001358000
      -42 0.001402000
      -36 0.001506000
      -30 0.001674000
      -24 0.001952000
      -18 0.001928000
      -12 0.001820000
       -6 0.001966000
        0 0.001872000
        6 0.001774000
       12 0.001522000
       18 0.001310000
       24 0.001270000
       30 0.001250000
       36 0.001452000
       42 0.001964000
       48 0.002956000
       54 0.005660000
       60 0.010526000
       66 0.019608000
       72 0.032518000
       78 0.049646000
       84 0.069360000
       90 0.087430000
       96 0.096870000
      102 0.097250000
      108 0.090356000
      114 0.075092000
      120 0.055440000
      126 0.034474000
      132 0.018232000
      138 0.008022000
      144 0.003304000
      150 0.001284000
      156 0.000452000
      162 0.000208000
      168 0.000094000
      174 0.000094000
