#GLN92-0  Hist_00956
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000010000
    -150 0.000012000
    -144 0.000066000
    -138 0.000126000
    -132 0.000268000
    -126 0.000466000
    -120 0.000978000
    -114 0.002238000
    -108 0.004918000
    -102 0.012078000
     -96 0.029554000
     -90 0.068106000
     -84 0.137838000
     -78 0.217110000
     -72 0.238894000
     -66 0.173838000
     -60 0.082552000
     -54 0.024750000
     -48 0.005338000
     -42 0.000756000
     -36 0.000096000
     -30 0.000006000
     -24 0.000002000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
