#MET46-0  Hist_00492
    -180 0.000030000
    -174 0.000430000
    -168 0.003198000
    -162 0.014072000
    -156 0.038878000
    -150 0.074590000
    -144 0.107730000
    -138 0.125664000
    -132 0.123568000
    -126 0.108800000
    -120 0.089366000
    -114 0.074706000
    -108 0.062942000
    -102 0.054878000
     -96 0.044974000
     -90 0.034274000
     -84 0.022648000
     -78 0.012034000
     -72 0.005132000
     -66 0.001546000
     -60 0.000430000
     -54 0.000070000
     -48 0.000024000
     -42 0.000008000
     -36 0.000004000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000004000
