#LEU97-0  Hist_01006
    -180 0.000000000
    -174 0.000004000
    -168 0.000016000
    -162 0.000104000
    -156 0.000380000
    -150 0.001176000
    -144 0.002902000
    -138 0.005912000
    -132 0.011128000
    -126 0.018804000
    -120 0.031540000
    -114 0.051642000
    -108 0.081890000
    -102 0.116744000
     -96 0.151468000
     -90 0.169446000
     -84 0.153598000
     -78 0.109946000
     -72 0.060468000
     -66 0.024340000
     -60 0.006890000
     -54 0.001408000
     -48 0.000178000
     -42 0.000016000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
