#GLN205-1  Hist_02144
     -180 0.014604000
     -174 0.005342000
     -168 0.001674000
     -162 0.000548000
     -156 0.000154000
     -150 0.000048000
     -144 0.000014000
     -138 0.000006000
     -132 0.000002000
     -126 0.000000000
     -120 0.000000000
     -114 0.000002000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000002000
       -6 0.000010000
        0 0.000018000
        6 0.000026000
       12 0.000042000
       18 0.000038000
       24 0.000050000
       30 0.000058000
       36 0.000138000
       42 0.000196000
       48 0.000398000
       54 0.000652000
       60 0.000914000
       66 0.001338000
       72 0.001648000
       78 0.002112000
       84 0.003014000
       90 0.003462000
       96 0.004238000
      102 0.005238000
      108 0.007464000
      114 0.011764000
      120 0.020480000
      126 0.036358000
      132 0.063358000
      138 0.102544000
      144 0.144912000
      150 0.169914000
      156 0.162700000
      162 0.123160000
      168 0.075092000
      174 0.036268000
