#ASN187-4  Hist_01960
     -180 0.001598000
     -174 0.000538000
     -168 0.000172000
     -162 0.000078000
     -156 0.000056000
     -150 0.000034000
     -144 0.000044000
     -138 0.000018000
     -132 0.000020000
     -126 0.000010000
     -120 0.000012000
     -114 0.000010000
     -108 0.000006000
     -102 0.000008000
      -96 0.000004000
      -90 0.000004000
      -84 0.000002000
      -78 0.000000000
      -72 0.000004000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000008000
       72 0.000066000
       78 0.000420000
       84 0.002180000
       90 0.008370000
       96 0.025024000
      102 0.055434000
      108 0.097026000
      114 0.134846000
      120 0.152354000
      126 0.144642000
      132 0.118614000
      138 0.088498000
      144 0.063408000
      150 0.043486000
      156 0.029918000
      162 0.018814000
      168 0.009872000
      174 0.004402000
