#HID69-4  Hist_00734
    -180 0.000036000
    -174 0.000054000
    -168 0.000046000
    -162 0.000102000
    -156 0.000236000
    -150 0.000642000
    -144 0.001492000
    -138 0.003598000
    -132 0.008072000
    -126 0.015316000
    -120 0.023766000
    -114 0.032974000
    -108 0.037958000
    -102 0.037280000
     -96 0.032370000
     -90 0.024194000
     -84 0.015648000
     -78 0.008652000
     -72 0.004498000
     -66 0.002186000
     -60 0.001326000
     -54 0.001140000
     -48 0.001388000
     -42 0.001504000
     -36 0.001954000
     -30 0.002224000
     -24 0.002592000
     -18 0.002682000
     -12 0.002884000
      -6 0.002970000
       0 0.002718000
       6 0.002392000
      12 0.002160000
      18 0.001816000
      24 0.001654000
      30 0.001494000
      36 0.001524000
      42 0.001912000
      48 0.002732000
      54 0.004884000
      60 0.008816000
      66 0.016588000
      72 0.028858000
      78 0.046888000
      84 0.068078000
      90 0.089594000
      96 0.101880000
     102 0.102000000
     108 0.088238000
     114 0.066846000
     120 0.043314000
     126 0.024410000
     132 0.011992000
     138 0.005550000
     144 0.002276000
     150 0.000894000
     156 0.000388000
     162 0.000160000
     168 0.000096000
     174 0.000064000
