#PRO79-1  Hist_00820
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000008000
     -54 0.000064000
     -48 0.000350000
     -42 0.001164000
     -36 0.003330000
     -30 0.007582000
     -24 0.013122000
     -18 0.018336000
     -12 0.022708000
      -6 0.027326000
       0 0.032806000
       6 0.039608000
      12 0.045460000
      18 0.050546000
      24 0.052774000
      30 0.052966000
      36 0.049420000
      42 0.042500000
      48 0.034914000
      54 0.025482000
      60 0.016282000
      66 0.009700000
      72 0.005824000
      78 0.004160000
      84 0.003648000
      90 0.005282000
      96 0.010192000
     102 0.020462000
     108 0.039746000
     114 0.065616000
     120 0.087264000
     126 0.088946000
     132 0.067032000
     138 0.036800000
     144 0.013972000
     150 0.003764000
     156 0.000702000
     162 0.000122000
     168 0.000016000
     174 0.000004000
