#PHE99-1  Hist_01030
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000002000
    -132 0.000004000
    -126 0.000008000
    -120 0.000016000
    -114 0.000092000
    -108 0.000332000
    -102 0.000968000
     -96 0.002820000
     -90 0.007266000
     -84 0.021398000
     -78 0.052890000
     -72 0.086404000
     -66 0.118524000
     -60 0.147924000
     -54 0.127362000
     -48 0.083134000
     -42 0.056536000
     -36 0.042666000
     -30 0.037068000
     -24 0.032852000
     -18 0.030224000
     -12 0.029332000
      -6 0.027762000
       0 0.025448000
       6 0.022036000
      12 0.018060000
      18 0.013190000
      24 0.008470000
      30 0.004420000
      36 0.001860000
      42 0.000570000
      48 0.000214000
      54 0.000102000
      60 0.000034000
      66 0.000010000
      72 0.000002000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
