#GLN157-5  Hist_01656
     -180 0.056534000
     -174 0.051630000
     -168 0.047100000
     -162 0.041978000
     -156 0.035258000
     -150 0.028054000
     -144 0.020254000
     -138 0.014258000
     -132 0.010186000
     -126 0.007110000
     -120 0.005120000
     -114 0.003612000
     -108 0.002586000
     -102 0.001802000
      -96 0.001386000
      -90 0.000998000
      -84 0.000874000
      -78 0.000648000
      -72 0.000570000
      -66 0.000344000
      -60 0.000232000
      -54 0.000194000
      -48 0.000102000
      -42 0.000066000
      -36 0.000052000
      -30 0.000052000
      -24 0.000056000
      -18 0.000056000
      -12 0.000052000
       -6 0.000052000
        0 0.000076000
        6 0.000074000
       12 0.000086000
       18 0.000132000
       24 0.000170000
       30 0.000266000
       36 0.000438000
       42 0.000628000
       48 0.001118000
       54 0.001658000
       60 0.002786000
       66 0.004158000
       72 0.005330000
       78 0.006278000
       84 0.006980000
       90 0.007736000
       96 0.008642000
      102 0.011518000
      108 0.015816000
      114 0.021564000
      120 0.027360000
      126 0.034946000
      132 0.044128000
      138 0.053662000
      144 0.064054000
      150 0.071136000
      156 0.074382000
      162 0.073366000
      168 0.068048000
      174 0.062248000
