#THR26-4  Hist_00282
    -180 0.000146000
    -174 0.000110000
    -168 0.000076000
    -162 0.000116000
    -156 0.000112000
    -150 0.000196000
    -144 0.000370000
    -138 0.000574000
    -132 0.000940000
    -126 0.001410000
    -120 0.002140000
    -114 0.003336000
    -108 0.005110000
    -102 0.007938000
     -96 0.011956000
     -90 0.016672000
     -84 0.021404000
     -78 0.023296000
     -72 0.021900000
     -66 0.017906000
     -60 0.014082000
     -54 0.010150000
     -48 0.007454000
     -42 0.005172000
     -36 0.003692000
     -30 0.002520000
     -24 0.001944000
     -18 0.001510000
     -12 0.001148000
      -6 0.000990000
       0 0.000802000
       6 0.000762000
      12 0.000746000
      18 0.000620000
      24 0.000846000
      30 0.001206000
      36 0.002170000
      42 0.004308000
      48 0.008586000
      54 0.014814000
      60 0.023296000
      66 0.034580000
      72 0.048476000
      78 0.068240000
      84 0.088824000
      90 0.102368000
      96 0.103798000
     102 0.090884000
     108 0.072340000
     114 0.052480000
     120 0.035680000
     126 0.023368000
     132 0.014702000
     138 0.009336000
     144 0.005538000
     150 0.003224000
     156 0.001846000
     162 0.000978000
     168 0.000546000
     174 0.000266000
