#LEU109-3  Hist_01152
     -180 0.171230000
     -174 0.119290000
     -168 0.062996000
     -162 0.027892000
     -156 0.011370000
     -150 0.004810000
     -144 0.001944000
     -138 0.000900000
     -132 0.000442000
     -126 0.000248000
     -120 0.000266000
     -114 0.000434000
     -108 0.000924000
     -102 0.002478000
      -96 0.005718000
      -90 0.011300000
      -84 0.018142000
      -78 0.024054000
      -72 0.025800000
      -66 0.023714000
      -60 0.018962000
      -54 0.012460000
      -48 0.006574000
      -42 0.002822000
      -36 0.000942000
      -30 0.000288000
      -24 0.000092000
      -18 0.000054000
      -12 0.000014000
       -6 0.000006000
        0 0.000004000
        6 0.000010000
       12 0.000022000
       18 0.000050000
       24 0.000096000
       30 0.000332000
       36 0.000658000
       42 0.001432000
       48 0.002638000
       54 0.004282000
       60 0.006538000
       66 0.008722000
       72 0.009980000
       78 0.009372000
       84 0.006104000
       90 0.003080000
       96 0.001120000
      102 0.000466000
      108 0.000166000
      114 0.000082000
      120 0.000090000
      126 0.000070000
      132 0.000120000
      138 0.000360000
      144 0.001420000
      150 0.006266000
      156 0.022456000
      162 0.061214000
      168 0.122318000
      174 0.174366000
