#ARG113-6  Hist_01196
     -180 0.035706000
     -174 0.028456000
     -168 0.021452000
     -162 0.015676000
     -156 0.011606000
     -150 0.009248000
     -144 0.007744000
     -138 0.007274000
     -132 0.008192000
     -126 0.010226000
     -120 0.014926000
     -114 0.021894000
     -108 0.031912000
     -102 0.045776000
      -96 0.057628000
      -90 0.064268000
      -84 0.060694000
      -78 0.047606000
      -72 0.029864000
      -66 0.014468000
      -60 0.005598000
      -54 0.001596000
      -48 0.000382000
      -42 0.000080000
      -36 0.000020000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000002000
       36 0.000030000
       42 0.000140000
       48 0.000362000
       54 0.001158000
       60 0.003152000
       66 0.006298000
       72 0.010734000
       78 0.014342000
       84 0.017350000
       90 0.018994000
       96 0.018904000
      102 0.018042000
      108 0.016348000
      114 0.015186000
      120 0.015252000
      126 0.016080000
      132 0.018902000
      138 0.023166000
      144 0.028560000
      150 0.034614000
      156 0.039966000
      162 0.043630000
      168 0.044554000
      174 0.041942000
