#TRP105-4  Hist_01102
     -180 0.000008000
     -174 0.000004000
     -168 0.000016000
     -162 0.000030000
     -156 0.000072000
     -150 0.000190000
     -144 0.000480000
     -138 0.001168000
     -132 0.002578000
     -126 0.004532000
     -120 0.006732000
     -114 0.009010000
     -108 0.009882000
     -102 0.009898000
      -96 0.008732000
      -90 0.007208000
      -84 0.005472000
      -78 0.004210000
      -72 0.003192000
      -66 0.002714000
      -60 0.002534000
      -54 0.002584000
      -48 0.002768000
      -42 0.002870000
      -36 0.002706000
      -30 0.002330000
      -24 0.002076000
      -18 0.001890000
      -12 0.001510000
       -6 0.001318000
        0 0.001224000
        6 0.001128000
       12 0.001080000
       18 0.001068000
       24 0.001036000
       30 0.001270000
       36 0.001324000
       42 0.001788000
       48 0.002444000
       54 0.003784000
       60 0.005798000
       66 0.009202000
       72 0.015368000
       78 0.027292000
       84 0.050542000
       90 0.085290000
       96 0.124958000
      102 0.151938000
      108 0.151560000
      114 0.120890000
      120 0.077440000
      126 0.039532000
      132 0.016330000
      138 0.005896000
      144 0.001976000
      150 0.000718000
      156 0.000256000
      162 0.000102000
      168 0.000038000
      174 0.000014000
