#GLU120-5  Hist_01272
     -180 0.010696000
     -174 0.011618000
     -168 0.013012000
     -162 0.015494000
     -156 0.018040000
     -150 0.020166000
     -144 0.022028000
     -138 0.021824000
     -132 0.021096000
     -126 0.018626000
     -120 0.016322000
     -114 0.013992000
     -108 0.012368000
     -102 0.011378000
      -96 0.011222000
      -90 0.011532000
      -84 0.012326000
      -78 0.013552000
      -72 0.014928000
      -66 0.016940000
      -60 0.020178000
      -54 0.023020000
      -48 0.025540000
      -42 0.027364000
      -36 0.026414000
      -30 0.022540000
      -24 0.018126000
      -18 0.013766000
      -12 0.011052000
       -6 0.009646000
        0 0.009498000
        6 0.009984000
       12 0.011746000
       18 0.013682000
       24 0.015874000
       30 0.018450000
       36 0.020604000
       42 0.021548000
       48 0.021656000
       54 0.019372000
       60 0.017228000
       66 0.014684000
       72 0.012738000
       78 0.011808000
       84 0.011220000
       90 0.011388000
       96 0.011904000
      102 0.012414000
      108 0.013856000
      114 0.015206000
      120 0.018016000
      126 0.020358000
      132 0.023996000
      138 0.026158000
      144 0.026428000
      150 0.024300000
      156 0.020358000
      162 0.016130000
      168 0.013218000
      174 0.011372000
