#TRP42-4  Hist_00446
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000020000
    -132 0.000300000
    -126 0.002666000
    -120 0.015174000
    -114 0.059716000
    -108 0.148902000
    -102 0.243392000
     -96 0.255246000
     -90 0.171458000
     -84 0.075118000
     -78 0.022056000
     -72 0.004888000
     -66 0.000828000
     -60 0.000178000
     -54 0.000036000
     -48 0.000010000
     -42 0.000008000
     -36 0.000000000
     -30 0.000000000
     -24 0.000002000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000002000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
