#VAL77-3  Hist_00810
    -180 0.194636000
    -174 0.121808000
    -168 0.053742000
    -162 0.017520000
    -156 0.004176000
    -150 0.000826000
    -144 0.000210000
    -138 0.000062000
    -132 0.000026000
    -126 0.000022000
    -120 0.000020000
    -114 0.000020000
    -108 0.000048000
    -102 0.000100000
     -96 0.000232000
     -90 0.000586000
     -84 0.000870000
     -78 0.001900000
     -72 0.003118000
     -66 0.004310000
     -60 0.004424000
     -54 0.003116000
     -48 0.001620000
     -42 0.000722000
     -36 0.000250000
     -30 0.000108000
     -24 0.000026000
     -18 0.000010000
     -12 0.000002000
      -6 0.000002000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000002000
      24 0.000000000
      30 0.000020000
      36 0.000084000
      42 0.000308000
      48 0.000786000
      54 0.001348000
      60 0.001596000
      66 0.001200000
      72 0.000604000
      78 0.000272000
      84 0.000068000
      90 0.000016000
      96 0.000014000
     102 0.000010000
     108 0.000006000
     114 0.000006000
     120 0.000028000
     126 0.000130000
     132 0.000430000
     138 0.001780000
     144 0.006892000
     150 0.021278000
     156 0.051924000
     162 0.105570000
     168 0.173880000
     174 0.217236000
