#ARG14-1  Hist_00148
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000002000
      12 0.000006000
      18 0.000010000
      24 0.000034000
      30 0.000078000
      36 0.000106000
      42 0.000080000
      48 0.000096000
      54 0.000088000
      60 0.000104000
      66 0.000120000
      72 0.000238000
      78 0.000520000
      84 0.001234000
      90 0.003124000
      96 0.007408000
     102 0.019080000
     108 0.046974000
     114 0.099336000
     120 0.166106000
     126 0.215316000
     132 0.208622000
     138 0.143404000
     144 0.064456000
     150 0.019124000
     156 0.003768000
     162 0.000514000
     168 0.000052000
     174 0.000000000
