#GLU164-1  Hist_01728
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000010000
       54 0.000028000
       60 0.000118000
       66 0.000300000
       72 0.000802000
       78 0.002134000
       84 0.005356000
       90 0.012146000
       96 0.024910000
      102 0.046292000
      108 0.078246000
      114 0.118810000
      120 0.159218000
      126 0.187676000
      132 0.173920000
      138 0.117524000
      144 0.053390000
      150 0.015786000
      156 0.002978000
      162 0.000314000
      168 0.000042000
      174 0.000000000
