#VAL82-1  Hist_00854
    -180 0.000340000
    -174 0.000052000
    -168 0.000006000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000002000
      54 0.000002000
      60 0.000008000
      66 0.000010000
      72 0.000012000
      78 0.000032000
      84 0.000062000
      90 0.000262000
      96 0.000760000
     102 0.002128000
     108 0.005626000
     114 0.014438000
     120 0.033998000
     126 0.073342000
     132 0.132780000
     138 0.195516000
     144 0.217026000
     150 0.175016000
     156 0.098512000
     162 0.037828000
     168 0.010066000
     174 0.002176000
