#ASN197-0  Hist_02054
     -180 0.000096000
     -174 0.001040000
     -168 0.007226000
     -162 0.027132000
     -156 0.064240000
     -150 0.105278000
     -144 0.129088000
     -138 0.132380000
     -132 0.117592000
     -126 0.097520000
     -120 0.077632000
     -114 0.061518000
     -108 0.047988000
     -102 0.037350000
      -96 0.029846000
      -90 0.023724000
      -84 0.017424000
      -78 0.012148000
      -72 0.006654000
      -66 0.002920000
      -60 0.000896000
      -54 0.000248000
      -48 0.000052000
      -42 0.000004000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000004000
