#ASN202-1  Hist_02112
     -180 0.000128000
     -174 0.000008000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000008000
      -48 0.000054000
      -42 0.000098000
      -36 0.000362000
      -30 0.000706000
      -24 0.001536000
      -18 0.002774000
      -12 0.005242000
       -6 0.009300000
        0 0.016480000
        6 0.026700000
       12 0.035544000
       18 0.037398000
       24 0.031650000
       30 0.026516000
       36 0.026136000
       42 0.032068000
       48 0.039466000
       54 0.042022000
       60 0.037176000
       66 0.026970000
       72 0.016674000
       78 0.010304000
       84 0.007562000
       90 0.007320000
       96 0.009170000
      102 0.013870000
      108 0.022012000
      114 0.030416000
      120 0.038066000
      126 0.048624000
      132 0.068830000
      138 0.095220000
      144 0.104498000
      150 0.077554000
      156 0.036226000
      162 0.011588000
      168 0.002972000
      174 0.000752000
