#VAL56-0  Hist_00584
    -180 0.000168000
    -174 0.001602000
    -168 0.009208000
    -162 0.039266000
    -156 0.113628000
    -150 0.207410000
    -144 0.243510000
    -138 0.189002000
    -132 0.108384000
    -126 0.049288000
    -120 0.020766000
    -114 0.008826000
    -108 0.003860000
    -102 0.001906000
     -96 0.001008000
     -90 0.000676000
     -84 0.000474000
     -78 0.000384000
     -72 0.000316000
     -66 0.000174000
     -60 0.000084000
     -54 0.000022000
     -48 0.000020000
     -42 0.000006000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000002000
     174 0.000010000
