#HID69-1  Hist_00728
    -180 0.002334000
    -174 0.001062000
    -168 0.000332000
    -162 0.000054000
    -156 0.000012000
    -150 0.000008000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000002000
      72 0.000008000
      78 0.000058000
      84 0.000296000
      90 0.001524000
      96 0.005906000
     102 0.018534000
     108 0.044462000
     114 0.083912000
     120 0.126668000
     126 0.156964000
     132 0.162314000
     138 0.141496000
     144 0.105296000
     150 0.069776000
     156 0.040058000
     162 0.021916000
     168 0.011398000
     174 0.005610000
