#HID168-3  Hist_01770
     -180 0.009594000
     -174 0.027138000
     -168 0.045840000
     -162 0.040868000
     -156 0.018072000
     -150 0.004546000
     -144 0.000664000
     -138 0.000096000
     -132 0.000024000
     -126 0.000028000
     -120 0.000028000
     -114 0.000036000
     -108 0.000086000
     -102 0.000224000
      -96 0.000582000
      -90 0.002008000
      -84 0.008174000
      -78 0.030532000
      -72 0.093964000
      -66 0.186240000
      -60 0.222494000
      -54 0.166718000
      -48 0.086800000
      -42 0.034314000
      -36 0.010896000
      -30 0.003024000
      -24 0.000792000
      -18 0.000252000
      -12 0.000072000
       -6 0.000044000
        0 0.000016000
        6 0.000018000
       12 0.000018000
       18 0.000026000
       24 0.000030000
       30 0.000042000
       36 0.000082000
       42 0.000070000
       48 0.000064000
       54 0.000060000
       60 0.000042000
       66 0.000018000
       72 0.000022000
       78 0.000016000
       84 0.000008000
       90 0.000008000
       96 0.000008000
      102 0.000000000
      108 0.000002000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000004000
      138 0.000002000
      144 0.000012000
      150 0.000044000
      156 0.000162000
      162 0.000496000
      168 0.001238000
      174 0.003342000
