#THR91-0  Hist_00946
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000012000
    -114 0.000042000
    -108 0.000174000
    -102 0.000890000
     -96 0.004558000
     -90 0.019504000
     -84 0.064116000
     -78 0.152128000
     -72 0.242730000
     -66 0.253618000
     -60 0.167806000
     -54 0.070816000
     -48 0.019390000
     -42 0.003692000
     -36 0.000482000
     -30 0.000040000
     -24 0.000000000
     -18 0.000002000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
