#GLY86-0  Hist_00892
    -180 0.000000000
    -174 0.000000000
    -168 0.000010000
    -162 0.000028000
    -156 0.000142000
    -150 0.000394000
    -144 0.001030000
    -138 0.002548000
    -132 0.005786000
    -126 0.012970000
    -120 0.027010000
    -114 0.052082000
    -108 0.089508000
    -102 0.132230000
     -96 0.165738000
     -90 0.172288000
     -84 0.144956000
     -78 0.100238000
     -72 0.056248000
     -66 0.025150000
     -60 0.008724000
     -54 0.002312000
     -48 0.000504000
     -42 0.000094000
     -36 0.000008000
     -30 0.000000000
     -24 0.000002000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
