#GLU134-3  Hist_01402
     -180 0.182774000
     -174 0.104274000
     -168 0.041514000
     -162 0.015078000
     -156 0.006258000
     -150 0.002938000
     -144 0.001324000
     -138 0.000720000
     -132 0.000462000
     -126 0.000620000
     -120 0.001262000
     -114 0.002958000
     -108 0.006236000
     -102 0.011958000
      -96 0.018558000
      -90 0.024586000
      -84 0.027508000
      -78 0.029452000
      -72 0.030692000
      -66 0.028868000
      -60 0.021064000
      -54 0.011656000
      -48 0.004866000
      -42 0.001714000
      -36 0.000440000
      -30 0.000086000
      -24 0.000020000
      -18 0.000010000
      -12 0.000002000
       -6 0.000000000
        0 0.000000000
        6 0.000004000
       12 0.000008000
       18 0.000006000
       24 0.000014000
       30 0.000040000
       36 0.000134000
       42 0.000308000
       48 0.000694000
       54 0.001624000
       60 0.002944000
       66 0.004198000
       72 0.004590000
       78 0.003124000
       84 0.001404000
       90 0.000508000
       96 0.000136000
      102 0.000058000
      108 0.000014000
      114 0.000012000
      120 0.000004000
      126 0.000004000
      132 0.000016000
      138 0.000072000
      144 0.000412000
      150 0.002678000
      156 0.014390000
      162 0.053564000
      168 0.131090000
      174 0.200052000
