#HIE134-0  Hist_01392
     -180 0.002248000
     -174 0.014078000
     -168 0.054022000
     -162 0.131768000
     -156 0.208064000
     -150 0.217532000
     -144 0.163338000
     -138 0.095212000
     -132 0.047508000
     -126 0.023360000
     -120 0.012808000
     -114 0.008174000
     -108 0.006090000
     -102 0.004878000
      -96 0.003696000
      -90 0.002920000
      -84 0.001964000
      -78 0.001120000
      -72 0.000632000
      -66 0.000218000
      -60 0.000082000
      -54 0.000026000
      -48 0.000004000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000024000
      174 0.000234000
