#GLN28-4  Hist_00290
    -180 0.123198000
    -174 0.096192000
    -168 0.061234000
    -162 0.032640000
    -156 0.015640000
    -150 0.007588000
    -144 0.004274000
    -138 0.003278000
    -132 0.003784000
    -126 0.005210000
    -120 0.008590000
    -114 0.014706000
    -108 0.024988000
    -102 0.034710000
     -96 0.037142000
     -90 0.028034000
     -84 0.014882000
     -78 0.006406000
     -72 0.002416000
     -66 0.001326000
     -60 0.000780000
     -54 0.000510000
     -48 0.000220000
     -42 0.000072000
     -36 0.000044000
     -30 0.000016000
     -24 0.000004000
     -18 0.000002000
     -12 0.000002000
      -6 0.000000000
       0 0.000000000
       6 0.000002000
      12 0.000004000
      18 0.000000000
      24 0.000018000
      30 0.000022000
      36 0.000090000
      42 0.000242000
      48 0.000606000
      54 0.001460000
      60 0.002416000
      66 0.003194000
      72 0.003392000
      78 0.002970000
      84 0.002502000
      90 0.001870000
      96 0.001370000
     102 0.000816000
     108 0.000520000
     114 0.000378000
     120 0.000336000
     126 0.000532000
     132 0.001368000
     138 0.003880000
     144 0.011342000
     150 0.028400000
     156 0.057516000
     162 0.092374000
     168 0.121060000
     174 0.133432000
