#MET21-3  Hist_00208
    -180 0.029178000
    -174 0.017976000
    -168 0.009118000
    -162 0.003576000
    -156 0.001252000
    -150 0.000456000
    -144 0.000114000
    -138 0.000030000
    -132 0.000024000
    -126 0.000020000
    -120 0.000020000
    -114 0.000060000
    -108 0.000278000
    -102 0.001404000
     -96 0.006766000
     -90 0.027112000
     -84 0.084072000
     -78 0.170352000
     -72 0.217870000
     -66 0.164902000
     -60 0.075766000
     -54 0.022972000
     -48 0.005104000
     -42 0.000992000
     -36 0.000174000
     -30 0.000028000
     -24 0.000010000
     -18 0.000000000
     -12 0.000002000
      -6 0.000000000
       0 0.000002000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000004000
      30 0.000010000
      36 0.000108000
      42 0.000276000
      48 0.001204000
      54 0.003166000
      60 0.006528000
      66 0.009670000
      72 0.009938000
      78 0.007548000
      84 0.004386000
      90 0.002090000
      96 0.001054000
     102 0.000552000
     108 0.000316000
     114 0.000284000
     120 0.000248000
     126 0.000264000
     132 0.000486000
     138 0.000988000
     144 0.002378000
     150 0.005852000
     156 0.012564000
     162 0.022206000
     168 0.032858000
     174 0.035392000
