#HIE126-4  Hist_01320
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000002000
        0 0.000016000
        6 0.000038000
       12 0.000092000
       18 0.000324000
       24 0.000960000
       30 0.002474000
       36 0.006218000
       42 0.015690000
       48 0.034658000
       54 0.067472000
       60 0.111606000
       66 0.150210000
       72 0.168756000
       78 0.155238000
       84 0.118880000
       90 0.079020000
       96 0.045216000
      102 0.023822000
      108 0.011206000
      114 0.005080000
      120 0.002026000
      126 0.000652000
      132 0.000252000
      138 0.000074000
      144 0.000014000
      150 0.000004000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
