#GLU152-4  Hist_01594
     -180 0.052182000
     -174 0.040954000
     -168 0.027924000
     -162 0.016526000
     -156 0.008790000
     -150 0.004794000
     -144 0.002520000
     -138 0.001460000
     -132 0.001140000
     -126 0.000892000
     -120 0.000998000
     -114 0.001404000
     -108 0.002042000
     -102 0.003758000
      -96 0.006144000
      -90 0.008828000
      -84 0.011776000
      -78 0.014838000
      -72 0.018394000
      -66 0.020492000
      -60 0.018246000
      -54 0.014802000
      -48 0.010276000
      -42 0.006554000
      -36 0.003832000
      -30 0.002078000
      -24 0.001142000
      -18 0.000704000
      -12 0.000470000
       -6 0.000326000
        0 0.000270000
        6 0.000294000
       12 0.000242000
       18 0.000350000
       24 0.000460000
       30 0.000810000
       36 0.001598000
       42 0.003788000
       48 0.009588000
       54 0.024480000
       60 0.051130000
       66 0.080784000
       72 0.095286000
       78 0.083698000
       84 0.058188000
       90 0.035972000
       96 0.019182000
      102 0.008684000
      108 0.004012000
      114 0.002422000
      120 0.002010000
      126 0.002258000
      132 0.003124000
      138 0.005392000
      144 0.009826000
      150 0.016974000
      156 0.027540000
      162 0.040636000
      168 0.051324000
      174 0.055392000
