#PRO177-5  Hist_01890
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000072000
      -54 0.003824000
      -48 0.043192000
      -42 0.145854000
      -36 0.205638000
      -30 0.153564000
      -24 0.077838000
      -18 0.032320000
      -12 0.013386000
       -6 0.006878000
        0 0.005966000
        6 0.010042000
       12 0.022630000
       18 0.052052000
       24 0.088700000
       30 0.088778000
       36 0.041544000
       42 0.007372000
       48 0.000346000
       54 0.000004000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
