#LYS192-3  Hist_02040
     -180 0.046714000
     -174 0.044564000
     -168 0.032592000
     -162 0.018680000
     -156 0.008412000
     -150 0.003416000
     -144 0.001252000
     -138 0.000528000
     -132 0.000286000
     -126 0.000214000
     -120 0.000328000
     -114 0.000532000
     -108 0.001514000
     -102 0.004584000
      -96 0.014350000
      -90 0.040518000
      -84 0.093302000
      -78 0.159714000
      -72 0.188118000
      -66 0.149820000
      -60 0.081564000
      -54 0.030614000
      -48 0.009152000
      -42 0.002326000
      -36 0.000558000
      -30 0.000150000
      -24 0.000050000
      -18 0.000016000
      -12 0.000006000
       -6 0.000010000
        0 0.000008000
        6 0.000004000
       12 0.000004000
       18 0.000028000
       24 0.000048000
       30 0.000080000
       36 0.000242000
       42 0.000420000
       48 0.000568000
       54 0.000740000
       60 0.000750000
       66 0.000688000
       72 0.000442000
       78 0.000278000
       84 0.000110000
       90 0.000042000
       96 0.000028000
      102 0.000002000
      108 0.000004000
      114 0.000006000
      120 0.000000000
      126 0.000000000
      132 0.000004000
      138 0.000018000
      144 0.000068000
      150 0.000356000
      156 0.001680000
      162 0.006376000
      168 0.017912000
      174 0.035210000
