#SER41-3  Hist_00424
    -180 0.211570000
    -174 0.204426000
    -168 0.132820000
    -162 0.058324000
    -156 0.018556000
    -150 0.004902000
    -144 0.001116000
    -138 0.000220000
    -132 0.000074000
    -126 0.000042000
    -120 0.000014000
    -114 0.000020000
    -108 0.000024000
    -102 0.000050000
     -96 0.000128000
     -90 0.000278000
     -84 0.000760000
     -78 0.001628000
     -72 0.002760000
     -66 0.003638000
     -60 0.003512000
     -54 0.002414000
     -48 0.001176000
     -42 0.000422000
     -36 0.000148000
     -30 0.000036000
     -24 0.000012000
     -18 0.000004000
     -12 0.000002000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000002000
      24 0.000002000
      30 0.000016000
      36 0.000068000
      42 0.000254000
      48 0.001034000
      54 0.003564000
      60 0.009226000
      66 0.016842000
      72 0.021552000
      78 0.017522000
      84 0.009396000
      90 0.003350000
      96 0.000942000
     102 0.000216000
     108 0.000064000
     114 0.000014000
     120 0.000020000
     126 0.000024000
     132 0.000060000
     138 0.000166000
     144 0.000588000
     150 0.002336000
     156 0.008882000
     162 0.028904000
     168 0.075770000
     174 0.150110000
