#GLY10-0  Hist_00094
    -180 0.000072000
    -174 0.000076000
    -168 0.000074000
    -162 0.000086000
    -156 0.000138000
    -150 0.000192000
    -144 0.000200000
    -138 0.000272000
    -132 0.000450000
    -126 0.000602000
    -120 0.001058000
    -114 0.001818000
    -108 0.003408000
    -102 0.006238000
     -96 0.010230000
     -90 0.014568000
     -84 0.015878000
     -78 0.013488000
     -72 0.008300000
     -66 0.003918000
     -60 0.001418000
     -54 0.000330000
     -48 0.000062000
     -42 0.000010000
     -36 0.000002000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000004000
      24 0.000008000
      30 0.000034000
      36 0.000246000
      42 0.001358000
      48 0.005774000
      54 0.019008000
      60 0.047994000
      66 0.091726000
      72 0.133714000
      78 0.151744000
      84 0.139886000
      90 0.112204000
      96 0.080730000
     102 0.053602000
     108 0.033144000
     114 0.020078000
     120 0.011552000
     126 0.006490000
     132 0.003462000
     138 0.001966000
     144 0.001044000
     150 0.000610000
     156 0.000346000
     162 0.000186000
     168 0.000132000
     174 0.000070000
