#MET53-4  Hist_00550
    -180 0.122656000
    -174 0.121838000
    -168 0.093266000
    -162 0.054862000
    -156 0.027094000
    -150 0.013232000
    -144 0.007192000
    -138 0.004446000
    -132 0.003390000
    -126 0.003000000
    -120 0.002788000
    -114 0.002900000
    -108 0.003318000
    -102 0.003838000
     -96 0.004508000
     -90 0.005802000
     -84 0.007378000
     -78 0.008596000
     -72 0.008496000
     -66 0.007092000
     -60 0.004548000
     -54 0.002580000
     -48 0.001090000
     -42 0.000370000
     -36 0.000136000
     -30 0.000024000
     -24 0.000012000
     -18 0.000008000
     -12 0.000000000
      -6 0.000002000
       0 0.000000000
       6 0.000000000
      12 0.000004000
      18 0.000016000
      24 0.000022000
      30 0.000148000
      36 0.000522000
      42 0.001894000
      48 0.004882000
      54 0.009608000
      60 0.013874000
      66 0.014772000
      72 0.012828000
      78 0.009442000
      84 0.006384000
      90 0.003890000
      96 0.002466000
     102 0.001612000
     108 0.001248000
     114 0.001104000
     120 0.001308000
     126 0.001958000
     132 0.003556000
     138 0.007692000
     144 0.016724000
     150 0.033130000
     156 0.055738000
     162 0.077946000
     168 0.095010000
     174 0.107760000
