#LEU213-1  Hist_02268
     -180 0.006614000
     -174 0.002596000
     -168 0.001052000
     -162 0.000424000
     -156 0.000218000
     -150 0.000098000
     -144 0.000054000
     -138 0.000048000
     -132 0.000024000
     -126 0.000020000
     -120 0.000012000
     -114 0.000018000
     -108 0.000014000
     -102 0.000020000
      -96 0.000038000
      -90 0.000068000
      -84 0.000104000
      -78 0.000294000
      -72 0.000834000
      -66 0.001802000
      -60 0.004316000
      -54 0.009452000
      -48 0.017430000
      -42 0.027274000
      -36 0.035976000
      -30 0.039792000
      -24 0.038230000
      -18 0.035002000
      -12 0.032372000
       -6 0.031640000
        0 0.029314000
        6 0.025702000
       12 0.020714000
       18 0.016298000
       24 0.013008000
       30 0.010456000
       36 0.008710000
       42 0.007676000
       48 0.006622000
       54 0.005860000
       60 0.005050000
       66 0.004328000
       72 0.003708000
       78 0.003238000
       84 0.003200000
       90 0.003878000
       96 0.005140000
      102 0.007664000
      108 0.012540000
      114 0.020212000
      120 0.031066000
      126 0.043158000
      132 0.054586000
      138 0.065438000
      144 0.072660000
      150 0.074562000
      156 0.065354000
      162 0.049150000
      168 0.029960000
      174 0.014912000
