#ASN102-1  Hist_01062
     -180 0.008698000
     -174 0.002170000
     -168 0.000486000
     -162 0.000096000
     -156 0.000016000
     -150 0.000002000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000002000
       24 0.000000000
       30 0.000002000
       36 0.000004000
       42 0.000004000
       48 0.000024000
       54 0.000084000
       60 0.000138000
       66 0.000252000
       72 0.000394000
       78 0.000724000
       84 0.001068000
       90 0.001672000
       96 0.002584000
      102 0.003912000
      108 0.006056000
      114 0.009670000
      120 0.017532000
      126 0.033140000
      132 0.062236000
      138 0.106266000
      144 0.158374000
      150 0.189296000
      156 0.175932000
      162 0.124318000
      168 0.066880000
      174 0.027968000
