#THR155-4  Hist_01626
     -180 0.012814000
     -174 0.010498000
     -168 0.007612000
     -162 0.005130000
     -156 0.003162000
     -150 0.002062000
     -144 0.001388000
     -138 0.001180000
     -132 0.000976000
     -126 0.000906000
     -120 0.001016000
     -114 0.001116000
     -108 0.001530000
     -102 0.002052000
      -96 0.002656000
      -90 0.003684000
      -84 0.004826000
      -78 0.005746000
      -72 0.005888000
      -66 0.005162000
      -60 0.003930000
      -54 0.002590000
      -48 0.001572000
      -42 0.000966000
      -36 0.000486000
      -30 0.000286000
      -24 0.000212000
      -18 0.000154000
      -12 0.000142000
       -6 0.000176000
        0 0.000264000
        6 0.000454000
       12 0.000822000
       18 0.001804000
       24 0.003878000
       30 0.008550000
       36 0.017140000
       42 0.032548000
       48 0.055392000
       54 0.082214000
       60 0.108472000
       66 0.121580000
       72 0.115724000
       78 0.095082000
       84 0.067242000
       90 0.043794000
       96 0.027658000
      102 0.017608000
      108 0.011414000
      114 0.008164000
      120 0.006428000
      126 0.005828000
      132 0.005648000
      138 0.006072000
      144 0.007082000
      150 0.008406000
      156 0.010320000
      162 0.012162000
      168 0.013918000
      174 0.014414000
