#HIE126-1  Hist_01314
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000002000
       54 0.000004000
       60 0.000048000
       66 0.000830000
       72 0.006156000
       78 0.029184000
       84 0.089846000
       90 0.179758000
       96 0.238430000
      102 0.217274000
      108 0.139868000
      114 0.066348000
      120 0.023606000
      126 0.006602000
      132 0.001630000
      138 0.000340000
      144 0.000064000
      150 0.000010000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
