#GLY42-1  Hist_00428
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000004000
     -72 0.000010000
     -66 0.000040000
     -60 0.000146000
     -54 0.000576000
     -48 0.001800000
     -42 0.005700000
     -36 0.015868000
     -30 0.038162000
     -24 0.074186000
     -18 0.119214000
     -12 0.154118000
      -6 0.158966000
       0 0.134306000
       6 0.094660000
      12 0.058538000
      18 0.034154000
      24 0.021580000
      30 0.015000000
      36 0.012552000
      42 0.011030000
      48 0.010002000
      54 0.008698000
      60 0.007660000
      66 0.006088000
      72 0.004728000
      78 0.003512000
      84 0.002548000
      90 0.001874000
      96 0.001356000
     102 0.001018000
     108 0.000850000
     114 0.000528000
     120 0.000304000
     126 0.000118000
     132 0.000072000
     138 0.000020000
     144 0.000010000
     150 0.000004000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
