#LYS50-7  Hist_00520
    -180 0.051458000
    -174 0.038686000
    -168 0.025328000
    -162 0.013770000
    -156 0.006788000
    -150 0.003434000
    -144 0.001634000
    -138 0.000784000
    -132 0.000602000
    -126 0.000462000
    -120 0.000544000
    -114 0.000786000
    -108 0.001438000
    -102 0.002710000
     -96 0.006342000
     -90 0.012796000
     -84 0.024212000
     -78 0.038598000
     -72 0.051906000
     -66 0.056910000
     -60 0.051170000
     -54 0.038672000
     -48 0.024988000
     -42 0.013708000
     -36 0.007136000
     -30 0.003414000
     -24 0.001680000
     -18 0.000964000
     -12 0.000604000
      -6 0.000460000
       0 0.000538000
       6 0.000670000
      12 0.001324000
      18 0.002704000
      24 0.005814000
      30 0.012354000
      36 0.023096000
      42 0.037116000
      48 0.049320000
      54 0.055586000
      60 0.049900000
      66 0.037960000
      72 0.024678000
      78 0.013408000
      84 0.006906000
      90 0.003340000
      96 0.001548000
     102 0.000894000
     108 0.000552000
     114 0.000420000
     120 0.000470000
     126 0.000698000
     132 0.001412000
     138 0.002754000
     144 0.005786000
     150 0.012390000
     156 0.022946000
     162 0.037130000
     168 0.050362000
     174 0.055940000
