#GLU143-1  Hist_01498
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000002000
     -120 0.000002000
     -114 0.000000000
     -108 0.000002000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000004000
      -78 0.000000000
      -72 0.000002000
      -66 0.000018000
      -60 0.000050000
      -54 0.000190000
      -48 0.000416000
      -42 0.000786000
      -36 0.001158000
      -30 0.001358000
      -24 0.001430000
      -18 0.001158000
      -12 0.000820000
       -6 0.000564000
        0 0.000436000
        6 0.000322000
       12 0.000336000
       18 0.000374000
       24 0.000332000
       30 0.000168000
       36 0.000142000
       42 0.000060000
       48 0.000060000
       54 0.000052000
       60 0.000062000
       66 0.000116000
       72 0.000350000
       78 0.000994000
       84 0.003682000
       90 0.012798000
       96 0.037686000
      102 0.089390000
      108 0.157740000
      114 0.208636000
      120 0.204614000
      126 0.152084000
      132 0.081156000
      138 0.030586000
      144 0.007974000
      150 0.001514000
      156 0.000316000
      162 0.000048000
      168 0.000008000
      174 0.000004000
