#HIE172-3  Hist_01832
     -180 0.035390000
     -174 0.029612000
     -168 0.018420000
     -162 0.009118000
     -156 0.003628000
     -150 0.001246000
     -144 0.000378000
     -138 0.000140000
     -132 0.000052000
     -126 0.000030000
     -120 0.000058000
     -114 0.000186000
     -108 0.000844000
     -102 0.003298000
      -96 0.012578000
      -90 0.040040000
      -84 0.097998000
      -78 0.173536000
      -72 0.209808000
      -66 0.165344000
      -60 0.084488000
      -54 0.028680000
      -48 0.007102000
      -42 0.001304000
      -36 0.000210000
      -30 0.000042000
      -24 0.000008000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000008000
       66 0.000030000
       72 0.000044000
       78 0.000050000
       84 0.000022000
       90 0.000020000
       96 0.000010000
      102 0.000014000
      108 0.000002000
      114 0.000008000
      120 0.000024000
      126 0.000052000
      132 0.000112000
      138 0.000320000
      144 0.000862000
      150 0.002148000
      156 0.005524000
      162 0.012210000
      168 0.022392000
      174 0.032610000
