#THR60-1  Hist_00614
    -180 0.001148000
    -174 0.000216000
    -168 0.000050000
    -162 0.000014000
    -156 0.000008000
    -150 0.000006000
    -144 0.000004000
    -138 0.000004000
    -132 0.000004000
    -126 0.000002000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000002000
     -90 0.000002000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000008000
      90 0.000034000
      96 0.000176000
     102 0.000588000
     108 0.002422000
     114 0.008080000
     120 0.022998000
     126 0.056698000
     132 0.116624000
     138 0.184114000
     144 0.219040000
     150 0.188624000
     156 0.119634000
     162 0.055456000
     168 0.018828000
     174 0.005216000
