#ARG167-0  Hist_01768
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000022000
     -150 0.000048000
     -144 0.000102000
     -138 0.000160000
     -132 0.000246000
     -126 0.000278000
     -120 0.000378000
     -114 0.000476000
     -108 0.000934000
     -102 0.002132000
      -96 0.005512000
      -90 0.018102000
      -84 0.053808000
      -78 0.130762000
      -72 0.228428000
      -66 0.262354000
      -60 0.187486000
      -54 0.082130000
      -48 0.022184000
      -42 0.003926000
      -36 0.000494000
      -30 0.000036000
      -24 0.000002000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
