#HIE126-0  Hist_01312
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000002000
     -150 0.000002000
     -144 0.000006000
     -138 0.000052000
     -132 0.000154000
     -126 0.000446000
     -120 0.001786000
     -114 0.005512000
     -108 0.018124000
     -102 0.051558000
      -96 0.120654000
      -90 0.212642000
      -84 0.259938000
      -78 0.203466000
      -72 0.095320000
      -66 0.025850000
      -60 0.004050000
      -54 0.000426000
      -48 0.000012000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
