#VAL103-1  Hist_01074
     -180 0.000198000
     -174 0.000020000
     -168 0.000004000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000002000
       48 0.000002000
       54 0.000002000
       60 0.000050000
       66 0.000070000
       72 0.000264000
       78 0.000620000
       84 0.001664000
       90 0.004114000
       96 0.009470000
      102 0.021118000
      108 0.045466000
      114 0.085476000
      120 0.138178000
      126 0.178770000
      132 0.182532000
      138 0.148356000
      144 0.097356000
      150 0.052664000
      156 0.022854000
      162 0.007952000
      168 0.002278000
      174 0.000520000
