#SER183-3  Hist_01948
     -180 0.054548000
     -174 0.041700000
     -168 0.022976000
     -162 0.009938000
     -156 0.003440000
     -150 0.001078000
     -144 0.000334000
     -138 0.000082000
     -132 0.000052000
     -126 0.000020000
     -120 0.000026000
     -114 0.000016000
     -108 0.000022000
     -102 0.000054000
      -96 0.000264000
      -90 0.001524000
      -84 0.009018000
      -78 0.039146000
      -72 0.108468000
      -66 0.177038000
      -60 0.163900000
      -54 0.084804000
      -48 0.025146000
      -42 0.004754000
      -36 0.000582000
      -30 0.000074000
      -24 0.000004000
      -18 0.000002000
      -12 0.000000000
       -6 0.000002000
        0 0.000000000
        6 0.000002000
       12 0.000000000
       18 0.000012000
       24 0.000046000
       30 0.000336000
       36 0.001964000
       42 0.007266000
       48 0.019472000
       54 0.031836000
       60 0.032818000
       66 0.023692000
       72 0.013582000
       78 0.007334000
       84 0.003648000
       90 0.001456000
       96 0.000392000
      102 0.000124000
      108 0.000026000
      114 0.000024000
      120 0.000008000
      126 0.000016000
      132 0.000034000
      138 0.000138000
      144 0.000460000
      150 0.001746000
      156 0.005830000
      162 0.015688000
      168 0.033342000
      174 0.049696000
