#ASN79-1  Hist_00824
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000002000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000002000
    -102 0.000004000
     -96 0.000004000
     -90 0.000006000
     -84 0.000054000
     -78 0.000200000
     -72 0.000592000
     -66 0.001734000
     -60 0.004038000
     -54 0.008362000
     -48 0.014830000
     -42 0.023710000
     -36 0.036572000
     -30 0.053270000
     -24 0.074976000
     -18 0.097756000
     -12 0.116086000
      -6 0.125164000
       0 0.123606000
       6 0.111084000
      12 0.086132000
      18 0.058362000
      24 0.033884000
      30 0.016650000
      36 0.007374000
      42 0.003036000
      48 0.001304000
      54 0.000592000
      60 0.000262000
      66 0.000158000
      72 0.000094000
      78 0.000040000
      84 0.000018000
      90 0.000028000
      96 0.000004000
     102 0.000002000
     108 0.000002000
     114 0.000004000
     120 0.000002000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
