#SER129-0  Hist_01342
     -180 0.000160000
     -174 0.000856000
     -168 0.004260000
     -162 0.014224000
     -156 0.034986000
     -150 0.060788000
     -144 0.084266000
     -138 0.095566000
     -132 0.097884000
     -126 0.094564000
     -120 0.090290000
     -114 0.084544000
     -108 0.080648000
     -102 0.075560000
      -96 0.065816000
      -90 0.052814000
      -84 0.034578000
      -78 0.018298000
      -72 0.007320000
      -66 0.002060000
      -60 0.000450000
      -54 0.000044000
      -48 0.000002000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000022000
