#ASN190-3  Hist_02018
     -180 0.015828000
     -174 0.023118000
     -168 0.024176000
     -162 0.017798000
     -156 0.009408000
     -150 0.004172000
     -144 0.001660000
     -138 0.000622000
     -132 0.000284000
     -126 0.000172000
     -120 0.000156000
     -114 0.000198000
     -108 0.000340000
     -102 0.000814000
      -96 0.002408000
      -90 0.007638000
      -84 0.024246000
      -78 0.066208000
      -72 0.139556000
      -66 0.205664000
      -60 0.207256000
      -54 0.140502000
      -48 0.066218000
      -42 0.022222000
      -36 0.005986000
      -30 0.001370000
      -24 0.000268000
      -18 0.000048000
      -12 0.000010000
       -6 0.000002000
        0 0.000002000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000004000
      150 0.000032000
      156 0.000204000
      162 0.000796000
      168 0.002848000
      174 0.007766000
