#TYR105-0  Hist_01090
     -180 0.000212000
     -174 0.001964000
     -168 0.010116000
     -162 0.037754000
     -156 0.102880000
     -150 0.193610000
     -144 0.246518000
     -138 0.210178000
     -132 0.123592000
     -126 0.051690000
     -120 0.016138000
     -114 0.004244000
     -108 0.000886000
     -102 0.000166000
      -96 0.000026000
      -90 0.000004000
      -84 0.000002000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000020000
